movieId,title,genre
1,Movie 1,Comedy
2,Movie 2,Comedy
3,Movie 3,Comedy
4,Movie 4,Thriller
5,Movie 5,Action
6,Movie 6,Action
7,Movie 7,Comedy
8,Movie 8,Thriller
9,Movie 9,Thriller
10,Movie 10,Sci-Fi
11,Movie 11,Sci-Fi
12,Movie 12,Sci-Fi
13,Movie 13,Thriller
14,Movie 14,Thriller
15,Movie 15,Sci-Fi
16,Movie 16,Action
17,Movie 17,Sci-Fi
18,Movie 18,Comedy
19,Movie 19,Drama
20,Movie 20,Thriller
21,Movie 21,Thriller
22,Movie 22,Comedy
23,Movie 23,Sci-Fi
24,Movie 24,Sci-Fi
25,Movie 25,Drama
26,Movie 26,Comedy
27,Movie 27,Action
28,Movie 28,Drama
29,Movie 29,Drama
30,Movie 30,Comedy
31,Movie 31,Comedy
32,Movie 32,Sci-Fi
33,Movie 33,Action
34,Movie 34,Sci-Fi
35,Movie 35,Thriller
36,Movie 36,Action
37,Movie 37,Thriller
38,Movie 38,Sci-Fi
39,Movie 39,Comedy
40,Movie 40,Action
41,Movie 41,Thriller
42,Movie 42,Action
43,Movie 43,Action
44,Movie 44,Action
45,Movie 45,Sci-Fi
46,Movie 46,Action
47,Movie 47,Sci-Fi
48,Movie 48,Drama
49,Movie 49,Drama
50,Movie 50,Thriller
51,Movie 51,Thriller
52,Movie 52,Thriller
53,Movie 53,Thriller
54,Movie 54,Thriller
55,Movie 55,Drama
56,Movie 56,Drama
57,Movie 57,Comedy
58,Movie 58,Action
59,Movie 59,Drama
60,Movie 60,Thriller
61,Movie 61,Comedy
62,Movie 62,Drama
63,Movie 63,Action
64,Movie 64,Action
65,Movie 65,Drama
66,Movie 66,Sci-Fi
67,Movie 67,Sci-Fi
68,Movie 68,Thriller
69,Movie 69,Drama
70,Movie 70,Drama
71,Movie 71,Thriller
72,Movie 72,Comedy
73,Movie 73,Sci-Fi
74,Movie 74,Action
75,Movie 75,Thriller
76,Movie 76,Sci-Fi
77,Movie 77,Action
78,Movie 78,Drama
79,Movie 79,Drama
80,Movie 80,Drama
81,Movie 81,Thriller
82,Movie 82,Comedy
83,Movie 83,Action
84,Movie 84,Thriller
85,Movie 85,Thriller
86,Movie 86,Thriller
87,Movie 87,Sci-Fi
88,Movie 88,Sci-Fi
89,Movie 89,Thriller
90,Movie 90,Drama
91,Movie 91,Action
92,Movie 92,Thriller
93,Movie 93,Action
94,Movie 94,Action
95,Movie 95,Drama
96,Movie 96,Action
97,Movie 97,Action
98,Movie 98,Thriller
99,Movie 99,Thriller
100,Movie 100,Thriller
101,Movie 101,Drama
102,Movie 102,Thriller
103,Movie 103,Sci-Fi
104,Movie 104,Sci-Fi
105,Movie 105,Drama
106,Movie 106,Comedy
107,Movie 107,Thriller
108,Movie 108,Drama
109,Movie 109,Action
110,Movie 110,Drama
111,Movie 111,Comedy
112,Movie 112,Sci-Fi
113,Movie 113,Action
114,Movie 114,Action
115,Movie 115,Thriller
116,Movie 116,Comedy
117,Movie 117,Drama
118,Movie 118,Sci-Fi
119,Movie 119,Thriller
120,Movie 120,Action
121,Movie 121,Action
122,Movie 122,Sci-Fi
123,Movie 123,Drama
124,Movie 124,Sci-Fi
125,Movie 125,Comedy
126,Movie 126,Sci-Fi
127,Movie 127,Action
128,Movie 128,Thriller
129,Movie 129,Sci-Fi
130,Movie 130,Action
131,Movie 131,Comedy
132,Movie 132,Comedy
133,Movie 133,Action
134,Movie 134,Sci-Fi
135,Movie 135,Action
136,Movie 136,Drama
137,Movie 137,Sci-Fi
138,Movie 138,Sci-Fi
139,Movie 139,Comedy
140,Movie 140,Drama
141,Movie 141,Comedy
142,Movie 142,Thriller
143,Movie 143,Action
144,Movie 144,Drama
145,Movie 145,Thriller
146,Movie 146,Sci-Fi
147,Movie 147,Action
148,Movie 148,Action
149,Movie 149,Thriller
150,Movie 150,Comedy
151,Movie 151,Comedy
152,Movie 152,Thriller
153,Movie 153,Sci-Fi
154,Movie 154,Sci-Fi
155,Movie 155,Comedy
156,Movie 156,Comedy
157,Movie 157,Sci-Fi
158,Movie 158,Action
159,Movie 159,Action
160,Movie 160,Thriller
161,Movie 161,Comedy
162,Movie 162,Sci-Fi
163,Movie 163,Sci-Fi
164,Movie 164,Action
165,Movie 165,Comedy
166,Movie 166,Drama
167,Movie 167,Drama
168,Movie 168,Sci-Fi
169,Movie 169,Thriller
170,Movie 170,Sci-Fi
171,Movie 171,Action
172,Movie 172,Sci-Fi
173,Movie 173,Drama
174,Movie 174,Comedy
175,Movie 175,Sci-Fi
176,Movie 176,Comedy
177,Movie 177,Thriller
178,Movie 178,Thriller
179,Movie 179,Sci-Fi
180,Movie 180,Sci-Fi
181,Movie 181,Comedy
182,Movie 182,Drama
183,Movie 183,Action
184,Movie 184,Action
185,Movie 185,Sci-Fi
186,Movie 186,Sci-Fi
187,Movie 187,Sci-Fi
188,Movie 188,Action
189,Movie 189,Comedy
190,Movie 190,Sci-Fi
191,Movie 191,Comedy
192,Movie 192,Comedy
193,Movie 193,Thriller
194,Movie 194,Sci-Fi
195,Movie 195,Sci-Fi
196,Movie 196,Drama
197,Movie 197,Drama
198,Movie 198,Thriller
199,Movie 199,Action
200,Movie 200,Drama
