userId,movieId,rating
1,70,4
1,27,5
1,39,5
1,51,2
1,83,1
1,44,2
1,33,4
1,128,4
1,135,2
1,74,2
1,30,5
1,112,4
1,167,2
1,196,4
1,89,2
1,50,4
1,181,4
1,187,3
1,146,2
1,22,1
1,171,3
1,154,5
1,169,4
1,132,2
1,41,4
1,157,3
1,124,3
1,111,5
1,75,1
1,125,1
2,162,5
2,194,1
2,173,3
2,98,2
2,104,5
2,133,1
2,155,4
2,116,1
2,31,1
2,161,3
2,176,1
2,81,3
2,36,4
2,103,2
2,166,3
2,12,3
2,55,3
2,150,2
2,198,3
3,112,3
3,142,3
3,103,1
3,70,5
3,78,1
3,2,5
3,55,1
3,129,1
3,162,4
3,74,4
3,166,2
3,155,1
3,42,3
3,53,4
3,101,1
4,185,3
4,5,5
4,89,3
4,60,2
4,162,5
4,141,1
5,134,4
5,118,4
5,133,5
5,115,4
5,56,3
5,74,5
5,76,3
5,68,2
5,90,3
5,39,1
5,132,5
5,93,1
5,14,1
5,32,1
5,198,2
5,172,1
5,189,2
5,62,2
5,141,3
5,66,3
5,30,4
5,28,4
5,35,5
5,95,3
5,192,2
5,183,1
5,147,2
5,176,1
5,105,2
6,95,2
6,180,5
6,24,4
6,190,5
6,169,5
6,129,5
6,84,1
6,76,1
6,156,4
6,29,2
6,183,1
6,97,2
6,191,3
6,152,3
6,115,5
6,142,1
6,137,4
6,131,1
6,127,4
6,188,2
6,176,4
6,195,3
6,198,1
6,109,1
6,172,3
6,6,5
6,60,5
7,2,4
7,143,3
7,123,2
7,163,1
7,106,1
7,102,3
7,176,3
7,160,4
7,178,5
7,26,2
7,194,5
7,66,5
7,109,5
7,151,5
7,187,3
7,67,2
8,78,4
8,6,4
8,194,1
8,154,4
8,96,4
8,21,5
8,82,2
8,27,4
8,46,4
8,64,3
8,186,1
8,2,2
8,130,5
8,118,5
8,103,4
8,107,3
8,23,4
9,121,5
9,144,4
9,4,5
9,198,4
9,151,4
9,78,5
9,184,2
9,74,2
9,116,1
10,48,2
10,115,3
10,103,1
10,159,1
10,9,1
10,184,4
10,144,3
10,104,2
10,121,1
10,40,5
10,141,3
11,153,4
11,24,1
11,96,4
11,34,4
11,70,5
11,21,5
11,152,3
11,160,5
11,80,5
11,183,2
11,3,3
11,84,3
11,112,4
11,135,3
11,107,2
11,45,1
11,50,1
11,102,1
12,84,2
12,16,3
12,193,2
12,127,5
12,7,2
12,62,2
12,36,3
12,137,3
12,147,1
12,156,1
12,27,4
12,163,4
12,4,1
12,142,4
12,105,1
12,10,2
12,80,4
12,44,2
12,176,2
13,177,3
13,139,4
13,52,4
13,140,2
13,115,4
13,192,3
13,149,3
13,184,1
13,42,3
13,130,2
13,35,2
13,83,4
13,66,5
13,47,4
13,82,2
13,163,1
13,107,2
13,175,4
13,180,1
13,6,5
13,88,1
13,17,5
13,122,4
14,137,2
14,135,4
14,30,2
14,131,4
14,33,3
14,151,2
14,117,2
14,13,4
14,84,2
15,174,5
15,98,4
15,114,4
15,193,3
15,116,1
15,188,3
15,157,2
15,61,4
15,87,3
15,151,1
15,192,4
15,50,2
15,117,4
15,13,1
15,154,3
15,51,4
15,90,5
15,118,2
15,81,2
16,187,5
16,65,3
16,51,3
16,102,4
16,67,5
16,138,3
16,184,1
16,88,1
16,25,3
16,2,1
16,100,2
16,170,2
16,137,5
16,85,2
16,119,1
16,76,1
16,11,1
16,136,5
16,139,5
16,195,3
16,157,5
16,105,1
16,68,5
16,49,4
16,115,5
16,10,2
16,91,2
16,86,4
17,130,3
17,29,2
17,140,1
17,75,2
17,41,1
17,110,3
17,73,2
17,52,4
17,36,3
17,9,1
17,197,4
17,76,2
17,27,4
17,17,5
17,44,4
17,170,1
17,82,5
17,148,4
17,38,3
17,159,4
17,181,3
17,86,3
17,122,3
17,14,1
17,68,2
17,126,4
18,116,2
18,179,4
18,143,1
18,80,1
18,98,5
18,153,2
18,140,5
18,64,4
18,113,3
18,163,4
18,172,3
18,200,1
18,193,1
18,176,3
18,196,1
18,142,4
18,78,1
18,16,4
18,182,4
18,122,2
18,82,2
19,36,3
19,194,2
19,47,4
19,108,5
19,126,4
19,183,3
19,124,5
19,104,4
19,64,2
19,9,2
19,70,3
19,149,3
19,6,4
19,153,5
19,174,3
19,74,5
19,94,5
19,180,3
19,51,3
19,58,1
20,4,1
20,187,2
20,148,2
20,132,3
20,192,3
20,136,3
20,5,4
20,50,1
20,172,1
20,8,4
21,36,1
21,80,2
21,49,5
21,116,5
21,189,3
21,173,1
21,179,2
21,94,2
21,40,3
21,46,5
21,132,3
21,126,4
21,163,5
21,121,2
21,99,5
21,149,3
21,148,2
22,98,3
22,48,1
22,2,5
22,29,4
22,147,5
22,9,5
23,100,4
23,133,4
23,197,4
23,41,4
23,56,4
23,76,5
23,200,5
23,128,2
23,132,5
24,62,3
24,81,1
24,181,5
24,54,1
24,127,5
24,53,1
24,178,5
24,58,2
24,114,4
25,60,4
25,126,2
25,152,2
25,49,5
25,124,1
25,12,5
25,163,4
25,146,2
25,70,1
25,40,5
25,129,4
26,189,2
26,76,2
26,183,4
26,123,5
26,98,4
26,114,1
26,135,3
26,106,1
26,70,3
26,7,2
26,125,1
26,87,2
26,43,1
26,54,1
26,47,3
26,162,1
26,102,5
26,34,1
26,146,5
27,70,3
27,92,1
27,111,1
27,46,3
27,145,4
27,110,4
27,88,3
27,35,4
27,93,4
27,50,2
27,194,5
27,179,2
27,158,2
27,120,1
27,34,3
27,154,3
27,71,1
27,146,5
27,147,1
27,175,3
27,85,1
27,75,4
27,107,5
27,89,4
27,24,5
27,104,4
27,26,3
27,55,1
27,180,1
27,64,3
28,128,4
28,97,3
28,1,2
28,103,3
28,100,2
29,51,2
29,70,3
29,91,2
29,187,5
29,43,1
29,112,2
30,157,5
30,91,1
30,112,2
30,106,5
30,31,4
30,185,4
30,102,3
30,176,5
30,184,4
